study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,cfd,test,351,19.770886530641647,13.438834190368652,22.0253963470459,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,10k,celeb,celeb,cfd,transfer,True,11.052496910095217,6.964212894439697,10.604616165161133,901,10.972899436950682,1.9927982361097218
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-imagenet-50ksteps,50000,backbone,gap,2048,infonce,imagenet,celeb,celeb,cfd,test,54,25.53642321935768,14.674612998962402,23.86305427551269,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-infonce-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,imagenet,10k,celeb,celeb,cfd,transfer,True,13.284772872924805,8.383938789367676,12.378300666809082,925,10.578281402587887,1.7962711522262518
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,cfd,test,422,15.288518540846196,11.32259750366211,18.626262664794922,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,100k,celeb,celeb,cfd,transfer,True,8.481070518493652,5.31820011138916,8.073100090026855,939,10.14519214630127,2.196215987613694
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,cfd,test,414,14.757466097347072,10.83993148803711,17.841094970703125,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,1m,celeb,celeb,cfd,transfer,True,7.914156436920166,4.963332176208496,8.020255088806152,992,9.926938533782959,2.2543268019662848
followup_50k_landmark_probe,celeb_to_cfd,baseline-imagenet,0,backbone,gap,2048,baseline,imagenet,celeb,celeb,cfd,test,361,21.32590628451989,12.531800270080565,20.57537269592285,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/baseline-imagenet/backbone__gap/best_probe.pt,,,,,,baseline,imagenet,baseline,celeb,celeb,cfd,transfer,True,11.655435562133787,7.262882709503174,12.257145881652832,802,8.919937133789064,1.7653027710751696
followup_50k_landmark_probe,celeb_to_cfd,baseline-random,0,backbone,gap,2048,baseline,random,celeb,celeb,cfd,test,383,21.923476953975488,12.728951454162598,21.29400634765625,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/baseline-random/backbone__gap/best_probe.pt,,,,,,baseline,random,baseline,celeb,celeb,cfd,transfer,True,12.971769332885742,7.741965293884277,13.72930145263672,795,8.322237014770508,1.6415652946951622
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,cfd,test,510,16.503945157827577,10.494463920593262,17.14495849609375,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,10k,celeb,celeb,cfd,transfer,True,9.008071899414062,5.6964263916015625,8.97541332244873,982,8.136886596679688,1.9032883715336417
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,cfd,test,690,9.725991905712695,8.206962585449219,13.081254005432127,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,10k,celeb,celeb,cfd,transfer,True,5.671750545501709,3.5886240005493164,5.312017917633057,999,7.409503459930418,2.306387402000063
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,cfd,test,622,7.291503278284125,7.346496105194093,11.987998962402346,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,1m,celeb,celeb,cfd,transfer,True,5.346963882446289,3.4052155017852783,5.134476661682129,975,6.6410350799560565,2.24201981273113
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,cfd,test,645,9.6202451883118,7.302658557891847,11.547938346862793,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,10k,celeb,celeb,cfd,transfer,True,5.787199020385742,3.7066636085510254,5.629683494567871,985,5.760739326477051,1.9954278928691607
