landmark,mean_l2,median_l2,std_l2,p90_l2,study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,best_epoch,best_val_mean_l2,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,task_family,paper_scope
iris_centroid,5.945619106292725,5.577803611755371,3.4971110820770264,9.827802658081056,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
iris_inferior,7.543458461761475,7.5193376541137695,3.9783108234405518,11.87127685546875,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
iris_superior,5.2078962326049805,4.593741416931152,3.1341218948364262,9.171219825744627,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
lateral_canthus,6.314554214477539,5.530921936035156,3.8764939308166495,12.04568862915039,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
lid_inferior,5.2579345703125,4.6570539474487305,3.1851322650909424,9.38943576812744,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
lid_superior,5.597550392150879,4.766042709350586,3.4345853328704834,9.531280517578123,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
medial_canthus,7.418212890625,7.00482988357544,3.933085680007935,12.859007835388185,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
sclera_inferior,5.314452171325684,4.354901313781738,3.2865314483642583,9.43449878692627,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
sclera_superior,5.253728866577148,4.448737144470215,3.2736937999725337,9.739666938781738,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,214,6.4368305154185474,,,,,,infonce,random,10k,transfer,True
iris_centroid,5.336201190948486,4.782761573791504,2.393004894256592,8.830188751220703,followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,173,6.055478450379086,,,,,,infonce,random,100k,transfer,True
