study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,celeb,celeb,celeb,test,516,21.93241385162854,13.270909309387207,22.076635360717773,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/baseline-random/backbone__gap/best_probe.pt,,,,,,baseline,random,baseline,celeb,celeb,celeb,within,True,12.971769332885742,7.741965293884277,13.72930145263672,795,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,celeb,test,630,9.663948595849543,6.537930488586426,10.463605880737305,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,10k,celeb,celeb,celeb,within,True,5.787199020385742,3.7066636085510254,5.629683494567871,985,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,celeb,test,644,8.183093597328726,5.351380825042725,8.497486114501951,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,100k,celeb,celeb,celeb,within,True,4.941577434539795,3.1464080810546875,4.88153076171875,961,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,celeb,test,956,7.1326106988667135,4.989112854003906,7.886075019836426,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,1m,celeb,celeb,celeb,within,True,5.346963882446289,3.4052155017852783,5.134476661682129,975,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,celeb,test,996,8.605578375644372,5.571080207824707,8.84671401977539,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,10k,celeb,celeb,celeb,within,True,6.622581958770753,4.250659942626953,6.580477714538574,984,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,celeb,test,799,8.958148940664824,5.700847148895264,9.084222793579102,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,100k,celeb,celeb,celeb,within,True,6.693324089050293,4.255705833435059,6.437655925750732,981,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,celeb,test,937,8.164918748407416,5.552295684814453,8.85107707977295,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,1m,celeb,celeb,celeb,within,True,5.975046157836914,3.7931699752807617,5.6525630950927725,949,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,celeb,test,759,10.087530589494547,6.386039733886719,10.148191452026367,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,10k,celeb,celeb,celeb,within,True,5.671750545501709,3.5886240005493164,5.312017917633057,999,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,celeb,test,986,7.7636029081917854,5.261763572692871,8.382796287536621,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,100k,celeb,celeb,celeb,within,True,4.849979877471924,3.0976579189300537,4.949226379394531,957,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,celeb,test,416,8.048527014060099,5.531710147857666,8.841500282287598,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,1m,celeb,celeb,celeb,within,True,5.064306259155273,3.2320435047149663,4.948784828186035,1000,,
