landmark,mean_l2,median_l2,std_l2,p90_l2,study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,best_epoch,best_val_mean_l2,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,task_family,paper_scope
iris_centroid,15.923473358154295,12.939061164855955,11.270312309265135,30.402551651000977,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
iris_inferior,16.403860092163086,14.081809043884276,11.333407402038574,30.62688446044922,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
iris_superior,15.918609619140625,13.411086082458494,11.344252586364744,30.45071792602539,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
lateral_canthus,36.7529525756836,31.0696964263916,24.679147720336925,70.89420318603516,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
lid_inferior,15.91531753540039,13.621926307678224,11.278956413269045,29.89228820800781,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
lid_superior,17.03236961364746,14.677144050598145,11.624624252319336,31.88004875183105,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
medial_canthus,47.56565475463867,40.78762435913086,31.31275749206543,91.76244354248048,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
sclera_inferior,17.216123580932614,14.452695846557615,11.279458999633787,31.57351303100586,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
sclera_superior,15.9613618850708,13.752836227416992,11.265288352966307,29.912555694580078,followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,gap,2048,baseline,random,516,21.93241385162854,,,,,,baseline,random,baseline,within,True
iris_centroid,9.681111335754396,7.787097454071045,7.425212383270264,17.800846099853516,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
iris_inferior,10.073091506958008,8.382482528686522,7.601254940032959,19.283071517944336,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
iris_superior,10.023271560668944,8.218426704406737,7.47849178314209,18.268423080444336,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
lateral_canthus,11.711722373962402,9.198397636413574,9.804113388061523,22.67184257507324,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
lid_inferior,9.555867195129396,7.821175098419189,7.453564643859862,18.55705451965332,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
lid_superior,9.967326164245604,8.039087295532228,7.79385232925415,18.77579498291016,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
medial_canthus,13.555869102478027,10.510140419006348,11.732135772705078,26.689659118652344,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
sclera_inferior,10.04448127746582,8.364206314086914,7.650616645812987,19.587560653686523,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
sclera_superior,9.55970859527588,7.861226081848144,7.4500489234924325,18.643585205078125,followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,630,9.663948595849543,,,,,,infonce,random,10k,within,True
