step,epoch,lr,world_size,bs,loss,nce_12,nce_21,tau,gather,bs_local,bs_global_view,run_name,scale,objective,init,reg,sim,sigreg,V,inv,var,cov
0,0,5.0396e-06,1,384,6.093017578125,6.08349609375,6.1025390625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
100,3,8.999599999999996e-06,1,384,6.013671875,6.012288570404053,6.015055179595947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
200,7,1.295959999999996e-05,1,384,6.019979000091553,6.019612789154053,6.020345211029053,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
300,11,1.691959999999993e-05,1,384,5.9423828125,5.942586421966553,5.942179203033447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
400,15,2.0879599999999897e-05,1,384,5.917989253997803,5.916707515716553,5.919270992279053,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
500,19,2.483959999999992e-05,1,384,5.86566162109375,5.8653564453125,5.865966796875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
600,23,2.879959999999994e-05,1,384,5.93353271484375,5.934488773345947,5.932576656341553,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
700,26,3.275959999999989e-05,1,384,5.8461103439331055,5.845906734466553,5.8463134765625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
800,30,3.671959999999993e-05,1,384,5.8528242111206055,5.855794429779053,5.849853515625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
900,34,4.0679599999999955e-05,1,384,5.802896976470947,5.800943851470947,5.804850101470947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1000,38,4.463959999999999e-05,1,384,5.827738285064697,5.829874515533447,5.825602054595947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1100,42,4.859960000000004e-05,1,384,5.837850093841553,5.837605953216553,5.838094234466553,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1200,46,5.25596000000001e-05,1,384,5.7834672927856445,5.78173828125,5.785196781158447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1300,50,5.651960000000012e-05,1,384,5.7555131912231445,5.75390625,5.757120609283447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1400,53,6.047960000000012e-05,1,384,5.690673828125,5.690185546875,5.691162109375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1500,57,6.443960000000015e-05,1,384,5.672566890716553,5.670979976654053,5.674153804779053,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1600,61,6.839960000000024e-05,1,384,5.591644287109375,5.592183589935303,5.591104984283447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1700,65,7.23596000000003e-05,1,384,5.6985063552856445,5.7001953125,5.696817874908447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1800,69,7.63196000000003e-05,1,384,5.628662109375,5.628987789154053,5.628336429595947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
1900,73,8.02796000000004e-05,1,384,5.4581499099731445,5.4605712890625,5.455729007720947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2000,76,8.423960000000036e-05,1,384,5.4150390625,5.4158935546875,5.4141845703125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2100,80,8.819960000000019e-05,1,384,5.2804155349731445,5.279947757720947,5.2808837890625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2200,84,9.215960000000019e-05,1,384,5.2673540115356445,5.269815921783447,5.264892578125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2300,88,9.611960000000014e-05,1,384,5.103006839752197,5.102701663970947,5.103312015533447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2400,92,0.00010007960000000004,1,384,5.0147294998168945,5.0140380859375,5.015421390533447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2500,96,0.0001040396,1,384,4.945658206939697,4.941935062408447,4.949381351470947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2600,100,0.0001079995999999999,1,384,4.846089839935303,4.847737789154053,4.844441890716553,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2700,103,0.0001119595999999997,1,384,4.706247806549072,4.705179691314697,4.707315921783447,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2800,107,0.00011591959999999953,1,384,4.5872602462768555,4.58544921875,4.589070796966553,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
2900,111,0.00011987959999999937,1,384,4.50006103515625,4.500244140625,4.4998779296875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3000,115,0.00012383959999999963,1,384,4.5797319412231445,4.5792236328125,4.580240726470947,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3100,119,0.00012779959999999966,1,384,4.4492902755737305,4.44793701171875,4.450643062591553,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3200,123,0.0001317595999999997,1,384,4.4516706466674805,4.451558589935303,4.4517822265625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3300,126,0.00013571959999999936,1,384,4.337066650390625,4.337870121002197,4.336263179779053,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3400,130,0.00013967959999999918,1,384,4.187642574310303,4.187276363372803,4.188008785247803,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3500,134,0.0001436395999999989,1,384,4.138397216796875,4.137410640716553,4.139383792877197,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3600,138,0.00014759959999999874,1,384,3.9908242225646973,3.990234375,3.9914143085479736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
3700,142,0.0001515595999999985,1,384,4.0141496658325195,4.014200687408447,4.01409912109375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
