best_epoch,best_val_mean_l2,checkpoint_step,embedding_dim,embedding_key,init_mode,objective,pooling,probe_checkpoint_path,run_name,ssl_method,study_name,task_name,test_dataset_name,test_mae,test_mean_l2,test_split,train_dataset_name,val_dataset_name
610,6.0942042173583655,50000,32768,backbone,random,lejepa,g4,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-lejepa-random-50ksteps,lejepa,followup_50k_landmark_probe,celeb_within,celeb,3.993424654006958,6.298998832702637,test,celeb,celeb
288,5.811719456657034,50000,32768,backbone,random,bhep,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-bhep-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-bhep-random-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,celeb_within,celeb,3.7407851219177246,5.887903213500977,test,celeb,celeb
459,8.768049104617592,50000,32768,backbone,random,eppartial,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-eppartial-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-eppartial-random-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,celeb_within,celeb,5.762739181518555,9.123900413513184,test,celeb,celeb
277,7.86246519661992,50000,32768,backbone,imagenet,lejepa,g4,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,lejepa,followup_50k_landmark_probe,celeb_within,celeb,5.22477912902832,8.201706886291504,test,celeb,celeb
241,7.0606660868952185,50000,32768,backbone,imagenet,bhep,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-bhep-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-bhep-imagenet-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,celeb_within,celeb,4.793207168579102,7.536043167114258,test,celeb,celeb
411,9.27857529270193,50000,32768,backbone,imagenet,eppartial,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-eppartial-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-eppartial-imagenet-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,celeb_within,celeb,6.135734558105469,9.794607162475586,test,celeb,celeb
347,4.1169538497924805,50000,32768,backbone,random,lejepa,g4,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-lejepa-random-50ksteps,lejepa,followup_50k_landmark_probe,cfd_within,cfd,2.667404890060425,4.199650287628174,test,cfd,cfd
232,3.708792209625244,50000,32768,backbone,random,bhep,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-bhep-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-bhep-random-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,cfd_within,cfd,2.4736523628234863,3.8705787658691406,test,cfd,cfd
195,4.648813247680664,50000,32768,backbone,random,eppartial,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-eppartial-random-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-eppartial-random-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,cfd_within,cfd,3.154569387435913,5.033493995666504,test,cfd,cfd
372,5.04587459564209,50000,32768,backbone,imagenet,lejepa,g4,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,lejepa,followup_50k_landmark_probe,cfd_within,cfd,3.640031337738037,5.66350793838501,test,cfd,cfd
257,4.550249576568604,50000,32768,backbone,imagenet,bhep,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-bhep-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-bhep-imagenet-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,cfd_within,cfd,2.971059560775757,4.675017833709717,test,cfd,cfd
755,5.30744218826294,50000,32768,backbone,imagenet,eppartial,g4,/workspace/landmark_probe/outputs/probe_runs/ep_bhep_1m_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-eppartial-imagenet-50ksteps/backbone__g4/best_probe.pt,geometry-fixedcompute-1m-eppartial-imagenet-50ksteps,lejepa,ep_bhep_1m_50k_landmark_probe,cfd_within,cfd,3.578011512756348,5.711609840393066,test,cfd,cfd
