step,epoch,lr,world_size,bs,loss,sim,sigreg,V,run_name,scale,objective,init,reg,ep_partial,bhep
0,0,5.0396e-06,1,384,4.085387706756592,0.4846188426017761,72.5,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,72.5,,
100,0,8.999599999999996e-06,1,384,0.5281143188476562,0.4937182366847992,1.1796875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.1796875,,
200,0,1.295959999999996e-05,1,384,0.5168858766555786,0.49731823801994324,0.88671875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.88671875,,
300,0,1.691959999999993e-05,1,384,0.5100778341293335,0.4973475933074951,0.75390625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.75390625,,
400,0,2.0879599999999897e-05,1,384,0.5100406408309937,0.49422454833984375,0.80859375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.80859375,,
500,0,2.483959999999992e-05,1,384,0.5052247047424316,0.4935239255428314,0.7265625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.7265625,,
600,0,2.879959999999994e-05,1,384,0.5074225664138794,0.4914686381816864,0.8125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.8125,,
700,0,3.275959999999989e-05,1,384,0.5011712312698364,0.4890001714229584,0.73046875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.73046875,,
800,0,3.671959999999993e-05,1,384,0.5112271308898926,0.4895626902580261,0.921875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.921875,,
900,0,4.0679599999999955e-05,1,384,0.49691420793533325,0.48349112272262573,0.75,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.75,,
1000,0,4.463959999999999e-05,1,384,0.49737992882728577,0.47781357169151306,0.87109375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.87109375,,
1100,0,4.859960000000004e-05,1,384,0.5004792213439941,0.480305016040802,0.8828125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.8828125,,
1200,0,5.25596000000001e-05,1,384,0.5071673393249512,0.47989246249198914,1.0234375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.0234375,,
1300,0,5.651960000000012e-05,1,384,0.5031927824020386,0.47930654883384705,0.95703125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.95703125,,
1400,0,6.047960000000012e-05,1,384,0.5042664408683777,0.47838079929351807,0.99609375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.99609375,,
1500,0,6.443960000000015e-05,1,384,0.509989321231842,0.47566720843315125,1.1640625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.1640625,,
1600,0,6.839960000000024e-05,1,384,0.5018406510353088,0.47608432173728943,0.9921875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.9921875,,
1700,0,7.23596000000003e-05,1,384,0.5017656087875366,0.4731784760951996,1.046875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.046875,,
1800,0,7.63196000000003e-05,1,384,0.5018211007118225,0.471437931060791,1.078125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.078125,,
1900,0,8.02796000000004e-05,1,384,0.4911928176879883,0.46924492716789246,0.90625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.90625,,
2000,0,8.423960000000036e-05,1,384,0.5066719055175781,0.4675494134426117,1.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.25,,
2100,0,8.819960000000019e-05,1,384,0.5094935894012451,0.4694916009902954,1.265625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.265625,,
2200,0,9.215960000000019e-05,1,384,0.49735328555107117,0.4664779603481293,1.0859375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.0859375,,
2300,0,9.611960000000014e-05,1,384,0.49196314811706543,0.46722888946533203,0.9609375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,0.9609375,,
2400,0,0.00010007960000000004,1,384,0.5061517953872681,0.46597394347190857,1.2734375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.2734375,,
2500,0,0.0001040396,1,384,0.5056878924369812,0.46779853105545044,1.2265625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.2265625,,
2600,0,0.0001079995999999999,1,384,0.5069664120674133,0.46528947353363037,1.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.296875,,
2700,1,0.0001119595999999997,1,384,0.4978978633880615,0.46448132395744324,1.1328125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.1328125,,
2800,1,0.00011591959999999953,1,384,0.4978303909301758,0.4618403911590576,1.1796875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.1796875,,
2900,1,0.00011987959999999937,1,384,0.49863216280937195,0.4598574638366699,1.234375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.234375,,
3000,1,0.00012383959999999963,1,384,0.49629494547843933,0.46484994888305664,1.09375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.09375,,
3100,1,0.00012779959999999966,1,384,0.5059914588928223,0.46169328689575195,1.3515625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.3515625,,
3200,1,0.0001317595999999997,1,384,0.4970649480819702,0.46283358335494995,1.1484375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.1484375,,
3300,1,0.00013571959999999936,1,384,0.4997577369213104,0.4628412127494812,1.203125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.203125,,
3400,1,0.00013967959999999918,1,384,0.5070322751998901,0.4627889096736908,1.34375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.34375,,
3500,1,0.0001436395999999989,1,384,0.5103597640991211,0.46577757596969604,1.359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.359375,,
3600,1,0.00014759959999999874,1,384,0.510522723197937,0.46337923407554626,1.40625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.40625,,
3700,1,0.0001515595999999985,1,384,0.5073684453964233,0.4616008698940277,1.375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.375,,
3800,1,0.00015551959999999835,1,384,0.509848952293396,0.4590721130371094,1.4765625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.4765625,,
3900,1,0.00015947959999999822,1,384,0.5120505094528198,0.4649873673915863,1.40625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.40625,,
4000,1,0.00016343959999999774,1,384,0.5035820007324219,0.45710110664367676,1.3828125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.3828125,,
4100,1,0.00016739959999999743,1,384,0.49837300181388855,0.45958465337753296,1.234375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.234375,,
4200,1,0.00017135959999999722,1,384,0.5083397626876831,0.4667350947856903,1.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.296875,,
4300,1,0.00017531959999999682,1,384,0.5157663822174072,0.4617030620574951,1.5390625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5390625,,
4400,1,0.00017927959999999667,1,384,0.5104002952575684,0.45502662658691406,1.5625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5625,,
4500,1,0.00018323959999999654,1,384,0.5173708200454712,0.4546542763710022,1.7109375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.7109375,,
4600,1,0.00018719959999999628,1,384,0.5130012035369873,0.4572504460811615,1.5703125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5703125,,
4700,1,0.0001911595999999961,1,384,0.5147711038589478,0.45551562309265137,1.640625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.640625,,
4800,1,0.00019511959999999579,1,384,0.5040794610977173,0.4555688500404358,1.421875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.421875,,
4900,1,0.0001990795999999954,1,384,0.5173518657684326,0.45309245586395264,1.734375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.734375,,
5000,1,0.00020303959999999526,1,384,0.5092685222625732,0.45846113562583923,1.4765625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.4765625,,
5100,1,0.00020699959999999503,1,384,0.5078792572021484,0.4528869092464447,1.5546875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5546875,,
5200,1,0.00021095959999999455,1,384,0.4941472113132477,0.45436549186706543,1.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.25,,
5300,2,0.00021491959999999426,1,384,0.5072983503341675,0.45381736755371094,1.5234375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5234375,,
5400,2,0.00021887959999999408,1,384,0.52054762840271,0.45131656527519226,1.8359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.8359375,,
5500,2,0.0002228395999999941,1,384,0.5175197124481201,0.4542970657348633,1.71875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.71875,,
5600,2,0.0002267995999999939,1,384,0.5166648626327515,0.45134133100509644,1.7578125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.7578125,,
5700,2,0.00023075959999999354,1,384,0.5010337829589844,0.44825100898742676,1.5078125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.5078125,,
5800,2,0.00023471959999999328,1,384,0.508012592792511,0.44326162338256836,1.734375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.734375,,
5900,2,0.00023867959999999288,1,384,0.515609622001648,0.4538283944129944,1.6875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.6875,,
6000,2,0.00024263959999999268,1,384,0.5196125507354736,0.4523882269859314,1.796875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.796875,,
6100,2,0.0002465995999999924,1,384,0.5183382034301758,0.4469349980354309,1.875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.875,,
6200,2,0.00025055959999999237,1,384,0.5303642153739929,0.4565100371837616,1.9296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.9296875,,
6300,2,0.00025451959999999216,1,384,0.5164636373519897,0.45421335101127625,1.703125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.703125,,
6400,2,0.0002584795999999917,1,384,0.5416547060012817,0.45605921745300293,2.171875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.171875,,
6500,2,0.00026243959999999164,1,384,0.5306148529052734,0.450092077255249,2.0625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.0625,,
